user_id,POI_id,POI_catid,POI_catid_code,POI_catname,latitude,longitude,timezone,UTC_time,local_time,day_of_week,norm_in_day_time,trajectory_id,norm_day_shift,norm_relative_time
226,462a6065f964a520d9451fe3,4bf58dd8d48988d14e941735,118,American Restaurant,40.75821277375464,-73.98682594299316,-240,2012-04-03 19:03:47+00:00,2012-04-03 15:03:47+00:00,1,0.625,226_1,0,0.625
194,43a52546f964a520532c1fe3,4bf58dd8d48988d1ed931735,277,Airport,40.645089355976346,-73.7845230102539,-240,2012-04-03 20:01:38+00:00,2012-04-03 16:01:38+00:00,1,0.6666666666666666,194_1,0,0.6666666666666666
204,4c33bc7216adc9286421c49c,4bf58dd8d48988d1a7941735,201,College Academic Building,40.63137917724519,-73.9514422416687,-240,2012-04-03 21:13:15+00:00,2012-04-03 17:13:15+00:00,1,0.7083333333333334,204_1,0,0.7083333333333334
420,4a07ac6af964a5208f731fe3,4bf58dd8d48988d1fd941735,308,Mall,40.917335441802095,-74.0756607055664,-240,2012-04-03 21:14:12+00:00,2012-04-03 17:14:12+00:00,1,0.7083333333333334,420_1,0,0.7083333333333334
194,4514fc3df964a520e8391fe3,4bf58dd8d48988d1a2941735,197,Community College,40.57840084043545,-73.93618583679199,-240,2012-04-03 21:57:54+00:00,2012-04-03 17:57:54+00:00,1,0.7291666666666666,194_1,0,0.7291666666666666
883,4840fef8f964a52031501fe3,4bf58dd8d48988d184941735,169,Stadium,40.81143815229546,-74.06779646873474,-240,2012-04-03 22:02:54+00:00,2012-04-03 18:02:54+00:00,1,0.75,883_1,0,0.75
17,4c390fc70a71c9b6f5e841c9,4bf58dd8d48988d130941735,91,Building,40.81592791796448,-73.95801020048518,-240,2012-04-03 22:50:53+00:00,2012-04-03 18:50:53+00:00,1,0.7708333333333334,17_1,0,0.7708333333333334
226,4ad90280f964a520161721e3,4bf58dd8d48988d137941735,99,Theater,40.75827778801546,-73.98802757263184,-240,2012-04-03 23:28:16+00:00,2012-04-03 19:28:16+00:00,1,0.7916666666666666,226_1,0,0.7916666666666666
882,4b28f330f964a5207c9624e3,4bf58dd8d48988d120941735,61,Bar,40.75485632616687,-73.98597836494446,-240,2012-04-03 23:54:31+00:00,2012-04-03 19:54:31+00:00,1,0.8125,882_1,0,0.8125
301,49b79f54f964a5202c531fe3,4bf58dd8d48988d164941735,140,Plaza,40.758728399405584,-73.97855791454388,-240,2012-04-04 00:34:55+00:00,2012-04-03 20:34:55+00:00,1,0.8541666666666666,301_1,0,0.8541666666666666
301,4bc36e134cdfc9b6c3569721,4bf58dd8d48988d16e941735,150,Fast Food Restaurant,40.76609348850453,-73.98334441336685,-240,2012-04-04 01:13:15+00:00,2012-04-03 21:13:15+00:00,1,0.875,301_1,0,0.875
17,4a32c3f9f964a5208c9a1fe3,4bf58dd8d48988d1df941735,252,Bridge,40.705888200473375,-73.9900016784668,-240,2012-04-04 02:03:26+00:00,2012-04-03 22:03:26+00:00,1,0.9166666666666666,17_1,0,0.9166666666666666
17,4ceb041afe90a35de6e0500e,4bf58dd8d48988d18e941735,178,Comedy Club,40.74043668515678,-73.98490545194795,-240,2012-04-04 02:58:46+00:00,2012-04-03 22:58:46+00:00,1,0.9375,17_1,0,0.9375
883,4b5ca9dcf964a520f83c29e3,4bf58dd8d48988d1fd931735,307,Subway,40.69783672870847,-73.92736598127738,-240,2012-04-04 05:22:35+00:00,2012-04-04 01:22:35+00:00,2,0.0416666666666666,883_1,1,1.0416666666666667
882,4a229fa8f964a520797d1fe3,4bf58dd8d48988d161941735,137,Other Great Outdoors,40.78447335869806,-73.96120548248291,-240,2012-04-04 06:01:23+00:00,2012-04-04 02:01:23+00:00,2,0.0833333333333333,882_1,1,1.0833333333333333
882,49e4a769f964a52015631fe3,4bf58dd8d48988d1e2941735,258,Beach,40.57334843776636,-73.98030281066895,-240,2012-04-04 06:03:19+00:00,2012-04-04 02:03:19+00:00,2,0.0833333333333333,882_1,1,1.0833333333333333
968,4bab9c66f964a520e8b83ae3,4bf58dd8d48988d124941735,69,Office,40.751621,-73.990009,-240,2012-04-04 11:50:40+00:00,2012-04-04 07:50:40+00:00,2,0.3125,968_1,0,0.3125
194,4514fc3df964a520e8391fe3,4bf58dd8d48988d1a2941735,197,Community College,40.57840084043545,-73.93618583679199,-240,2012-04-04 12:58:03+00:00,2012-04-04 08:58:03+00:00,2,0.3541666666666667,194_1,1,1.3541666666666667
420,4c29f2e597d00f47f02442ea,4bf58dd8d48988d124941735,69,Office,40.75098826258705,-74.0058864142103,-240,2012-04-04 14:19:48+00:00,2012-04-04 10:19:48+00:00,2,0.4166666666666667,420_1,1,1.4166666666666667
226,462a6065f964a520d9451fe3,4bf58dd8d48988d14e941735,118,American Restaurant,40.75821277375464,-73.98682594299316,-240,2012-04-04 14:28:49+00:00,2012-04-04 10:28:49+00:00,2,0.4166666666666667,226_1,1,1.4166666666666667
194,43a52546f964a520532c1fe3,4bf58dd8d48988d1ed931735,277,Airport,40.645089355976346,-73.7845230102539,-240,2012-04-04 16:46:53+00:00,2012-04-04 12:46:53+00:00,2,0.5208333333333334,194_1,1,1.5208333333333337
204,49e7f5faf964a52035651fe3,4bf58dd8d48988d1ae941735,208,University,40.63116747782979,-73.95221471786499,-240,2012-04-04 18:07:53+00:00,2012-04-04 14:07:53+00:00,2,0.5833333333333334,204_1,1,1.5833333333333337
968,4f74a494e4b0da64dfe954dd,4bf58dd8d48988d103951735,7,Clothing Store,40.754597385692016,-73.98423397734838,-240,2012-04-04 18:45:24+00:00,2012-04-04 14:45:24+00:00,2,0.6041666666666666,968_1,0,0.6041666666666666
194,4b3613a9f964a520013025e3,4f4528bc4b90abdf24c9de85,370,Athletic & Sport,40.59024368944973,-73.89894920251417,-240,2012-04-04 19:11:26+00:00,2012-04-04 15:11:26+00:00,2,0.625,194_1,1,1.625
204,4b780846f964a520d2b22ee3,4bf58dd8d48988d1e0931735,253,Coffee Shop,40.632195,-73.94833087920928,-240,2012-04-04 19:45:10+00:00,2012-04-04 15:45:10+00:00,2,0.6458333333333334,204_1,1,1.6458333333333337
883,4840fef8f964a52031501fe3,4bf58dd8d48988d184941735,169,Stadium,40.81143815229546,-74.06779646873474,-240,2012-04-04 23:22:05+00:00,2012-04-04 19:22:05+00:00,2,0.7916666666666666,883_1,1,1.7916666666666663
301,3fd66200f964a5204ee41ee3,4bf58dd8d48988d147941735,111,Diner,40.73653170754329,-73.9908281005557,-240,2012-04-04 23:44:26+00:00,2012-04-04 19:44:26+00:00,2,0.8125,301_1,1,1.8125
420,49db721df964a520d35e1fe3,4bf58dd8d48988d17f941735,165,Movie Theater,40.828585959081536,-74.14026975631714,-240,2012-04-04 23:58:49+00:00,2012-04-04 19:58:49+00:00,2,0.8125,420_1,1,1.8125
968,4c61d3d3e1621b8db50d2253,4bf58dd8d48988d124941735,69,Office,40.75134162086649,-73.99047802660205,-240,2012-04-05 11:57:59+00:00,2012-04-05 07:57:59+00:00,3,0.3125,968_1,1,1.3125
829,4de45c45ae60e7f3ac1d7925,4bf58dd8d48988d1c5941735,228,Sandwich Place,40.60948916260309,-73.92172336578369,-240,2012-04-07 13:36:48+00:00,2012-04-07 09:36:48+00:00,5,0.3958333333333333,829_3,0,0.3958333333333333
717,4d73e6e49d2fa1430d58e9d6,4bf58dd8d48988d102941735,4,Gym / Fitness Center,40.75968986010941,-73.96237246820378,-240,2012-04-07 13:45:30+00:00,2012-04-07 09:45:30+00:00,5,0.3958333333333333,717_1,0,0.3958333333333333
400,408c5100f964a520c6f21ee3,4bf58dd8d48988d163941735,139,Park,40.72651075083395,-73.98171901702881,-240,2012-04-07 15:58:43+00:00,2012-04-07 11:58:43+00:00,5,0.4791666666666667,400_2,0,0.4791666666666667
